userName,at,content
Pengguna Google,2024-12-09 14:32:02,Setiap jam 10 ko nga bisa transaksi
Pengguna Google,2024-12-09 14:31:37,"apa sih wondr perbaikan setiap hari pasti banget giliran di butuhin error dalam perbaikan, apanya yg di perbaiki coba? mana setiap hari, kayanya gtu gtu aja ga jelas, udah pesen bawa belanjaan banyak gak bawa uang cash giliran buka wondr pasti aja gini udah sering lo saya gini sementara saya kasih rating segini dulu, kalo ada perbaikan tolong lah disegerakan kita juga udah percayakan mbanking bni sama wondr🙏"
Pengguna Google,2024-12-09 14:31:35,"Sering gangguan..payah,dan sering fitur TDK tersedia..coba lagi tulisan nya..woii perbaiki segera,knp gangguan lagi ini sekarang..mana nih pihak bni"
Pengguna Google,2024-12-09 14:31:20,Semenjak jadi wonder sering error milik negara tapi ITnya Tolol
Pengguna Google,2024-12-09 14:31:16,aplikasi busuk.. gangguan hampir stiap minggu 3x . lebih stabil mbanking dri pada ini.. wonder ngak banget rekomend untuk org2 yg sering transaksi
Pengguna Google,2024-12-09 14:31:13,Slalu bermasalah
Pengguna Google,2024-12-09 14:30:52,"saya liat udh banyak yg komplen dan mengalami hal yang saya dengan saya ketika mau tf diblng nya gagal tapi saldo kepotong tapi tdk ada bukti transfer pdhal jls jls keterangan nya gagal bukan pending. kemudian wktu lagi ga bawa cash mau bayar pake apk ini malah ga bisa di pake krna sedang ada perbaikan kata nya, alhasil merepotkan bgt mana ga bawa cash sama sekali, jadi mohon ya tlg di tingkatkan agar tdk merepotkan. tlg ditingkatkan lagi ya krna kdng lagi keadaan darurat malah ga bisa dipake."
Pengguna Google,2024-12-09 14:30:51,sering x gabisa dibuka apk buat malu pas pembayaran aneh. sedang diperbaiki trus kek paling gabisa BNI dipake kalau urgen
Pengguna Google,2024-12-09 14:30:42,Kalau pakai wifi lemot banget gak kaya BNI yang lama
Pengguna Google,2024-12-09 14:30:36,"Perasaan sering bgt gangguan dah, mending aplikasi yg lama"
Pengguna Google,2024-12-09 14:30:30,Eror GK bisa buka
Pengguna Google,2024-12-09 14:30:25,"Tiap malam gangguan mulu, Tiap buka ada nongol Fitur sedang tidak tersedia."
Pengguna Google,2024-12-09 14:29:35,SERING BANGET ERROR NYA. BIKIN SUSAH AJA.
Pengguna Google,2024-12-09 14:28:44,Mohon maaf tapi suka error mulu. Pas lagi genting2nya dan ga bisa kepake itu bener2 frustasi banget 😕
Pengguna Google,2024-12-09 14:28:26,"Ketika urgent di butuhkan malah sering terjadi bug ""fitur lagi tidak tersedia"" Itu saya nunggu sampai setengah jam mau bayar pake Qris jadinya gabisa kebuka aplikasi nya coba yah d benahin masih bagus pake M-banking nya"
Pengguna Google,2024-12-09 14:28:13,Aplikasi sangat jelek sekali gk kayak mbanking
Pengguna Google,2024-12-09 14:27:22,Kendala Mulu kalo habis hujan kacau
Pengguna Google,2024-12-09 14:27:11,Kok gangguan ya
Pengguna Google,2024-12-09 14:26:58,Sangat membantu
Pengguna Google,2024-12-09 14:26:01,"apk malah eror pas lagi di butuh²in, sinyal kenceng jaringan lancar buka ini itu cepet tapi pas buka ini malah eror, sering eror."
Pengguna Google,2024-12-09 14:25:15,Sering bgt gk bsa login dan sering bgt ada perbaikann 👎 kcewa bgt sh disaat buru² mau tf atau cek saldo sering gk bsa login
Pengguna Google,2024-12-09 14:24:31,"Apakah wondr by BNI, sedang eror., atau dalam masa perbaikan."
Pengguna Google,2024-12-09 14:24:26,Suka error
Pengguna Google,2024-12-09 14:23:09,Puas
Pengguna Google,2024-12-09 14:22:56,"Ini aplikasi ya sering perbaikan,"
Pengguna Google,2024-12-09 14:22:12,"kebanyakan perbaikan sistem jadi setiap qris atau pembayaran jadi tertunda, pengalaman saya waktu pembayaran udah selesai tapi pending, tiba tiba keluar sendiri terus ga bisa masuk gara gara ada perbaikan"
Pengguna Google,2024-12-09 14:22:10,Kebanyakan trobel
Pengguna Google,2024-12-09 14:21:31,"Gangguan Mulu ,suruh download tapi ga gguan terus...,"
Pengguna Google,2024-12-09 14:20:35,sering banget trouble
Pengguna Google,2024-12-09 14:20:20,Kenapa wonder sekarang banyak perbaikanya ya padahal fitur suda lengakap
Pengguna Google,2024-12-09 14:19:24,"Fitur ok simpel,tp sayang tiba² gak bisa di akses.maintenance mulu."
Pengguna Google,2024-12-09 14:19:14,gangguan terus
Pengguna Google,2024-12-09 14:19:14,"Kalian tidak siap dengan aplikasi ini, ada hal urgent malah gak bisa kebuka aplikasinya 😁"
Pengguna Google,2024-12-09 14:18:58,"Selalu perbaikan terus kalau mau masuk, astaghfirullah 😓"
Pengguna Google,2024-12-09 14:18:31,Kenapa sering kali gangguan.. Ni gangguan
Pengguna Google,2024-12-09 14:18:04,"Sering ada kendala kalo sinyalnya kurang bagus, tp pas buka mbanking sebelah aman2 aja tuh"
Pengguna Google,2024-12-09 14:17:53,Aplikasi ini sangat bagus
Pengguna Google,2024-12-09 14:17:33,Sudah hampir 1minggu aplikasi eror udan di uninstal instal lagi tetep aja ga bisa dibuka kenapa?
Pengguna Google,2024-12-09 14:17:23,Sering erorr
Pengguna Google,2024-12-09 14:17:20,Aplikasi wondr di hp saya eror. Tidak bisa terbuka. Kadang saldo tidak bertambah padahal ada notif pemasukan.😭. Padahal lagi perlu2 nya. Masih bagus aplikasi lama.
Pengguna Google,2024-12-09 14:17:19,lebih mudah..top
Pengguna Google,2024-12-09 14:17:13,"Kesel sama mbanking BNI,dikit dikit gangguan,menghambat transaksi,mana kalo gangguan lamaaa kalo begini terus saya uninstal aja lah bikin emosi"
Pengguna Google,2024-12-09 14:17:09,Setiap hari ada aja gangguan memang tak jelas
Pengguna Google,2024-12-09 14:16:05,Terlalu sering gagal login. Selalu butuh waktu. Pembayaran jadi sering terkendala. masih terlalu banyak bug di aplikasinya
Pengguna Google,2024-12-09 14:16:02,Banyak gangguan terus Najis
Pengguna Google,2024-12-09 14:15:39,"gara mbking lagi ada gangguan gw gabisa pake Qris buat belanja, kartu lupa kebawa hadehh"
Pengguna Google,2024-12-09 14:15:27,"Selalu dalam perbaikan, sedangkan kami pake kerja😭😭😭😭"
Pengguna Google,2024-12-09 14:15:21,Kenapa ada perbaikan terus ...ngak kayak M-BEAKING 😌mau tranfer tranfer malah masih di perbaikan..tolong di normalkan ya
Pengguna Google,2024-12-09 14:15:09,"Lebih di tingkatkan lagi untuk aplikasinya, sering terjadi gangguan"
Pengguna Google,2024-12-09 14:15:06,"Suka relog sendiri, loading kadang terlalu lama. Menyusahkan saat akan transaksi qris atau transfer."
Pengguna Google,2024-12-09 14:15:06,Aplikasi kalau blum siap jgan terbiatkan kebanyakan gangguan
Pengguna Google,2024-12-09 14:15:01,Aplikasi busuk! Sering error!
Pengguna Google,2024-12-09 14:14:30,Sering eror terus riwayat transaksi transfer dari orang lambat banget masuk ke riwayat
Pengguna Google,2024-12-09 14:14:30,"Ini kenapa ga bisa di buka ya gangguan mulu padahal lagi butuh banget, malah gangguan mulh"
Pengguna Google,2024-12-09 14:14:20,maintance teroooossssss
Pengguna Google,2024-12-09 14:14:20,Sangat bagus sekali
Pengguna Google,2024-12-09 14:14:19,MENGECEWAKAN! sering perbaikan perbaikan jd gabisa dipake pas lg dibutuhin!!!!!
Pengguna Google,2024-12-09 14:14:15,Gangguan terus kenapa yah jadi susah log in
Pengguna Google,2024-12-09 14:13:35,"Bahhhhh, apa ini sering gangguannn. Lama lama malas juga lah klo lg penting sering begini"
Pengguna Google,2024-12-09 14:13:33,Kenapa sering gangguan gak jelas sekarang kok jadi kesel gunain ini sekarang ya sya edit rating sya. Kecewa sya berulang kali kayak gini trus kacau kacau parah kacau
Pengguna Google,2024-12-09 14:13:31,Sering fitur lagi tidak tersedia terussssssss
Pengguna Google,2024-12-09 14:13:25,Terlalu buruk. Terlalu banyak perbaikan
Pengguna Google,2024-12-09 14:13:07,Sdkit sdkit gangguan Mending pakai BNI mobile lama
Pengguna Google,2024-12-09 14:12:55,"LU SUKA ERROR KOCAK, KLO DIBUAT BAYAR TRS TIBA2 ERROR KAN MALU2IN BGT, PLS LAH PERBAIKI SISTEMNYA BIAR GAK GAMPANG ERROR. GEDEG BGT!!!"
Pengguna Google,2024-12-09 14:12:52,"Aplikasi kebanyakan bug, terlalu sering loading gagal"
Pengguna Google,2024-12-09 14:12:46,malam ini kok gak bisa ke buka apa gangguan ya
Pengguna Google,2024-12-09 14:12:29,Aplikasi bodok suka logout2 sendiri susahnya minta ampun login kembali gagal sistem terus
Pengguna Google,2024-12-09 14:12:29,"Bagus, baru 1 hari langsung nggk bisa log in dengan kendala ad sedikit kendala, klo udh bagus ku kasih bintang 5"
