content,case_folding,cleansing,normalized_reviews
SAYA KAPOK PAKEK BNI SERING ERROR GAK KEK BRI AMA BCA UDAH PAKEK 3 TH TAPI GAK PERNAH ERROR TAPI SETELAH PAKEK BNI BEHHHHH ERROR KOK HAMPIR TIAP HARI... (INTINYA PELAYANAN NYA KURANG BAGUS),saya kapok pakek bni sering error gak kek bri ama bca udah pakek 3 th tapi gak pernah error tapi setelah pakek bni behhhhh error kok hampir tiap hari... (intinya pelayanan nya kurang bagus),saya kapok pakek bni sering error gak kek bri ama bca udah pakek  th tapi gak pernah error tapi setelah pakek bni behhhhh error kok hampir tiap hari intinya pelayanan nya kurang bagus,saya kapok pakai bni sering error enggak kayak bri sama baca sudah pakai tahu tapi enggak pernah error tapi setelah pakai bni behhhhh error kok hampir tiap hari intinya pelayanan nya kurang bagus
Tidak bisa login saat sedang ingin melakukan transaksi. Konyol!,tidak bisa login saat sedang ingin melakukan transaksi. konyol!,tidak bisa login saat sedang ingin melakukan transaksi konyol,tidak bisa login saat sedang ingin melakukan transaksi konyol
aplikasi sering eror mungkin bisa ditambah untuk menu setor dan tarik tunai,aplikasi sering eror mungkin bisa ditambah untuk menu setor dan tarik tunai,aplikasi sering eror mungkin bisa ditambah untuk menu setor dan tarik tunai,aplikasi sering eror mungkin bisa ditambah untuk menu setor dan tarik tunai
"Aplikasi mobile banking gak rekomen. Percuma BUMN, tapi sering gangguan. Sumpah gak nyaman zama aplikasi ini. Banyakin perbaikan nya yaaa!!!!!","aplikasi mobile banking gak rekomen. percuma bumn, tapi sering gangguan. sumpah gak nyaman zama aplikasi ini. banyakin perbaikan nya yaaa!!!!!",aplikasi mobile banking gak rekomen percuma bumn tapi sering gangguan sumpah gak nyaman zama aplikasi ini banyakin perbaikan nya yaaa,aplikasi mobile banking enggak rekomen percuma bumn tapi sering gangguan sumpah enggak nyaman zaman aplikasi ini membanyaki perbaikan nya ya
Parah smkin kesini semakin jlk aplikasi ini asu,parah smkin kesini semakin jlk aplikasi ini asu,parah smkin kesini semakin jlk aplikasi ini asu,parah semakin kesini semakin jlk aplikasi ini asu
Sering eror. Dan sering pulang pas mau bayar pake Qris jadi malu sndiri. Gak ky m banking bank sebelah gak pernah kegini,sering eror. dan sering pulang pas mau bayar pake qris jadi malu sndiri. gak ky m banking bank sebelah gak pernah kegini,sering eror dan sering pulang pas mau bayar pake qris jadi malu sndiri gak ky m banking bank sebelah gak pernah kegini,sering eror dan sering pulang pas mau bayar pakai qris jadi malu sendiri enggak kaya sama banking bank sebelah enggak pernah kegini
GANGGUAN TOK LEMOTTT PUOLLLLLL,gangguan tok lemottt puollllll,gangguan tok lemottt puollllll,gangguan tok lemottt puollllll
"Gagal bni , ga bisa di andelin buat fast Apk wondr msh kurang canggih orang it nya sering erorrr","gagal bni , ga bisa di andelin buat fast apk wondr msh kurang canggih orang it nya sering erorrr",gagal bni  ga bisa di andelin buat fast apk wondr msh kurang canggih orang it nya sering erorrr,gagal bni enggak bisa di andelin buat fast apk wondr masih kurang canggih orang itu nya sering erorrr
"Aplikasi apa ini,mobile tunai tidak ada/belum ada. Keseringan error lagi","aplikasi apa ini,mobile tunai tidak ada/belum ada. keseringan error lagi",aplikasi apa inimobile tunai tidak adabelum ada keseringan error lagi,aplikasi apa inimobile tunai tidak adabelum ada keseringan error lagi
"Susah banget mau login loadingnya lama, sudah ditunggu-tunggu malah dibilang sesi habis silahkan login ulang, padahal login aja belom sempet","susah banget mau login loadingnya lama, sudah ditunggu-tunggu malah dibilang sesi habis silahkan login ulang, padahal login aja belom sempet",susah banget mau login loadingnya lama sudah ditunggutunggu malah dibilang sesi habis silahkan login ulang padahal login aja belom sempet,susah banget mau login loadingnya lama sudah ditunggutunggu malah dibilang sesi habis silakan login ulang padahal login saja belum sempat
Aplikasi kebanyakan eror nya,aplikasi kebanyakan eror nya,aplikasi kebanyakan eror nya,aplikasi kebanyakan eror nya
Good,good,good,good
Payah masuk banyak bug nya gak cocok aplikasi nya,payah masuk banyak bug nya gak cocok aplikasi nya,payah masuk banyak bug nya gak cocok aplikasi nya,payah masuk banyak bug nya enggak cocok aplikasi nya
Menjengkelkan banget sering troble Ajur fasilitas bni,menjengkelkan banget sering troble ajur fasilitas bni,menjengkelkan banget sering troble ajur fasilitas bni,menjengkelkan banget sering troble ajur fasilitas bni
"Gak jelas tiba-tiba tidak bisa dibuka kembali sendiri ,tidak bisa di pakai","gak jelas tiba-tiba tidak bisa dibuka kembali sendiri ,tidak bisa di pakai",gak jelas tibatiba tidak bisa dibuka kembali sendiri tidak bisa di pakai,enggak jelas tibatiba tidak bisa dibuka kembali sendiri tidak bisa di pakai
"Blug Baru login "" sesi anda berakhir"" Berkali"" Hadeee","blug baru login "" sesi anda berakhir"" berkali"" hadeee",blug baru login  sesi anda berakhir berkali hadeee,blug baru login sesi anda berakhir berkali hadeee
"Gajelas nih apk!!! Mending pake bni mobile, baru login dibilang sesi login anda telah berakhir, ngabisin waktu ulang2 twrus gajetotflah","gajelas nih apk!!! mending pake bni mobile, baru login dibilang sesi login anda telah berakhir, ngabisin waktu ulang2 twrus gajetotflah",gajelas nih apk mending pake bni mobile baru login dibilang sesi login anda telah berakhir ngabisin waktu ulang twrus gajetotflah,enggak jelas nih apk mending pakai bni mobile baru login dibilang sesi login anda telah berakhir ngabisin waktu ulang twrus gajetotflah
Bedanya sama Bni Mobile Banking apa kak?,bedanya sama bni mobile banking apa kak?,bedanya sama bni mobile banking apa kak,bedanya sama bni mobile banking apa kak
"Apk jelek sering keluar sendiri sebelum transaksi, mending pake apk BNI yg dulu, kebanyakan error","apk jelek sering keluar sendiri sebelum transaksi, mending pake apk bni yg dulu, kebanyakan error",apk jelek sering keluar sendiri sebelum transaksi mending pake apk bni yg dulu kebanyakan error,apk jelek sering keluar sendiri sebelum transaksi mending pakai apk bni yang dulu kebanyakan error
"Kenapa sllu mau login itu, bilangnya sesi kmu sudah hbis, jelas2 waktu msih bnyak","kenapa sllu mau login itu, bilangnya sesi kmu sudah hbis, jelas2 waktu msih bnyak",kenapa sllu mau login itu bilangnya sesi kmu sudah hbis jelas waktu msih bnyak,kenapa selalu mau login itu bilangnya sesi kamu sudah habis jelas waktu masih banyak
Banyak masalah yang sering terjadi,banyak masalah yang sering terjadi,banyak masalah yang sering terjadi,banyak masalah yang sering terjadi
